bhf_Zwischenstopp,routeIdx,ankunftsZeitpunkt,abfahrtsZeitpunkt,bahnhofsInfoId,extId,id,tripId,Fahrtkosten,dep_bhf_Gesamt,arr_bhf_Gesamt,dep_bhf_Steckenabschnitt,arr_bhf_Streckenabschnitt,verkehrsmittelProduktGattung,verkehrsmittelName
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Stendal Hbf,2,2025-09-04T18:59:00,2025-09-04T19:02:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Berlin Hbf,3,2025-09-04T19:48:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Stendal Hbf,2,2025-09-04T18:59:00,2025-09-04T19:02:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Berlin Hbf,3,2025-09-04T19:48:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg Dammtor,3,,2025-09-04T17:35:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf (S-Bahn),4,2025-09-04T17:37:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf,1,,2025-09-04T17:48:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Uelzen,2,2025-09-04T18:31:00,2025-09-04T18:33:00,6310,8000168,A=1@O=Uelzen@X=10553057@Y=52969782@U=80@L=8000168@i=U×008013623@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Stendal Hbf,3,2025-09-04T19:25:00,2025-09-04T19:27:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin-Spandau,4,2025-09-04T20:06:00,2025-09-04T20:08:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin Hbf,5,2025-09-04T20:19:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Stendal Hbf,2,2025-09-04T18:59:00,2025-09-04T19:02:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Berlin Hbf,3,2025-09-04T19:48:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg Dammtor,3,,2025-09-04T17:35:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf (S-Bahn),4,2025-09-04T17:37:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf,1,,2025-09-04T17:48:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Uelzen,2,2025-09-04T18:31:00,2025-09-04T18:33:00,6310,8000168,A=1@O=Uelzen@X=10553057@Y=52969782@U=80@L=8000168@i=U×008013623@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Stendal Hbf,3,2025-09-04T19:25:00,2025-09-04T19:27:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin-Spandau,4,2025-09-04T20:06:00,2025-09-04T20:08:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin Hbf,5,2025-09-04T20:19:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Hamburg Dammtor,2,,2025-09-04T17:54:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hamburg Hbf,3,2025-09-04T17:58:00,2025-09-04T18:01:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hamburg-Harburg,4,2025-09-04T18:10:00,2025-09-04T18:12:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hannover Hbf,5,2025-09-04T19:20:00,,2545,8000152,A=1@O=Hannover Hbf@X=9741017@Y=52376764@U=80@L=8000152@i=U×008013552@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hannover Hbf,8,,2025-09-04T19:31:00,2545,8000152,A=1@O=Hannover Hbf@X=9741017@Y=52376764@U=80@L=8000152@i=U×008013552@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Wolfsburg Hbf,9,2025-09-04T20:02:00,2025-09-04T20:03:00,6859,8006552,A=1@O=Wolfsburg Hbf@X=10787784@Y=52429495@U=80@L=8006552@i=U×008013017@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin-Spandau,10,2025-09-04T20:57:00,2025-09-04T21:00:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin Zoologischer Garten,11,2025-09-04T21:10:00,2025-09-04T21:12:00,0533,8010406,A=1@O=Berlin Zoologischer Garten@X=13332441@Y=52507341@U=80@L=8010406@i=U×008003036@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin Hbf,12,2025-09-04T21:18:00,,1071,8011160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8011160@i=U×008065969@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Stendal Hbf,2,2025-09-04T18:59:00,2025-09-04T19:02:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Berlin Hbf,3,2025-09-04T19:48:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg Dammtor,3,,2025-09-04T17:35:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf (S-Bahn),4,2025-09-04T17:37:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 2
Hamburg Hbf,1,,2025-09-04T17:48:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Uelzen,2,2025-09-04T18:31:00,2025-09-04T18:33:00,6310,8000168,A=1@O=Uelzen@X=10553057@Y=52969782@U=80@L=8000168@i=U×008013623@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Stendal Hbf,3,2025-09-04T19:25:00,2025-09-04T19:27:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin-Spandau,4,2025-09-04T20:06:00,2025-09-04T20:08:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Berlin Hbf,5,2025-09-04T20:19:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,96c0fc44_3,51.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 1607
Hamburg Dammtor,2,,2025-09-04T17:54:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hamburg Hbf,3,2025-09-04T17:58:00,2025-09-04T18:01:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hamburg-Harburg,4,2025-09-04T18:10:00,2025-09-04T18:12:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hannover Hbf,5,2025-09-04T19:20:00,,2545,8000152,A=1@O=Hannover Hbf@X=9741017@Y=52376764@U=80@L=8000152@i=U×008013552@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Hannover Hbf,Hamburg Dammtor,ICE,ICE 885
Hannover Hbf,8,,2025-09-04T19:31:00,2545,8000152,A=1@O=Hannover Hbf@X=9741017@Y=52376764@U=80@L=8000152@i=U×008013552@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Wolfsburg Hbf,9,2025-09-04T20:02:00,2025-09-04T20:03:00,6859,8006552,A=1@O=Wolfsburg Hbf@X=10787784@Y=52429495@U=80@L=8006552@i=U×008013017@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin-Spandau,10,2025-09-04T20:57:00,2025-09-04T21:00:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin Zoologischer Garten,11,2025-09-04T21:10:00,2025-09-04T21:12:00,0533,8010406,A=1@O=Berlin Zoologischer Garten@X=13332441@Y=52507341@U=80@L=8010406@i=U×008003036@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Berlin Hbf,12,2025-09-04T21:18:00,,1071,8011160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8011160@i=U×008065969@,791e3faa_3,45.99,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hannover Hbf,ICE,ICE 643
Hamburg Dammtor,7,,2025-09-04T18:39:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T18:41:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,1,,2025-09-04T18:49:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 699
Lüneburg,2,2025-09-04T19:14:00,2025-09-04T19:16:00,3855,8000238,A=1@O=Lüneburg@X=10419891@Y=53249652@U=80@L=8000238@i=U×008001173@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 699
Salzwedel,3,2025-09-04T20:09:00,2025-09-04T20:10:00,5487,8010310,A=1@O=Salzwedel@X=11162032@Y=52858109@U=80@L=8010310@i=U×008024585@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 699
Stendal Hbf,4,2025-09-04T20:36:00,2025-09-04T20:37:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 699
Berlin-Spandau,5,2025-09-04T21:11:00,2025-09-04T21:13:00,0561,8010404,A=1@O=Berlin-Spandau@X=13196902@Y=52534650@U=80@L=8010404@i=U×008003025@,ccd01492_3,31.89,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,ICE,ICE 699
